%Wavelength	fat	water_36c	Hb02 mm-1/mM	Hb mm-1/mM
600	0.000466	0.00019955	0.957	2.886
602	0.000479	0.00027691	0.775	2.63
604	0.000487	0.00031568	0.641	2.374
606	0.00048	0.00023199	0.539	2.123
608	0.00047	0.00023712	0.46	1.921
610	0.000464	0.00028739	0.397	1.753
612	0.000454	0.00030636	0.346	1.618
614	0.000427	0.00026253	0.305	1.508
616	0.000423	0.00029823	0.271	1.416
618	0.000437	0.0003376	0.242	1.338
620	0.00043	0.00025716	0.218	1.272
622	0.000433	0.00027516	0.197	1.215
624	0.000438	0.00034737	0.18	1.166
626	0.000426	0.00032727	0.164	1.123
628	0.000426	0.00021637	0.15	1.085
630	0.000428	0.00030199	0.139	1.051
632	0.000437	0.00032249	0.129	1.022
634	0.00044	0.00027039	0.12	0.996
636	0.00042	0.00037832	0.114	0.974
638	0.000433	0.00034491	0.108	0.953
640	0.000452	0.00034771	0.104	0.936
642	0.000449	0.00039667	0.101	0.92
644	0.00046	0.00035413	0.099	0.907
646	0.000464	0.0003581	0.099	0.895
648	0.000464	0.0003309	0.098	0.884
650	0.000471	0.00038208	0.098	0.873
652	0.000467	0.000404	0.099	0.864
654	0.000457	0.00039312	0.099	0.852
656	0.000438	0.00035339	0.098	0.836
658	0.000424	0.00039541	0.098	0.828
660	0.000418	0.00042037	0.1	0.815
662	0.000413	0.00041511	0.101	0.799
664	0.000419	0.00047999	0.101	0.782
666	0.000439	0.00046712	0.1015	0.763
668	0.000452	0.00040319	0.102	0.743
670	0.00045	0.0004679	0.102	0.721
672	0.000457	0.0005205	0.102	0.699
674	0.000463	0.0004014	0.103	0.677
676	0.000446	0.00045305	0.103	0.655
678	0.000422	0.00047448	0.103	0.633
680	0.000406	0.00047982	0.103	0.612
682	0.000387	0.00051647	0.103	0.591
684	0.00037	0.00047893	0.103	0.571
686	0.000366	0.00055528	0.103	0.551
688	0.000354	0.00053996	0.103	0.533
690	0.000342	0.00057492	0.103	0.516
692	0.000335	0.00060139	0.103	0.5
694	0.000328	0.00066069	0.103	0.485
696	0.000321	0.00066422	0.104	0.471
698	0.000327	0.00067629	0.104	0.459
700	0.000323	0.00069618	0.105	0.447
